y_pred	 y	 loss
tensor([0.6561], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.5120, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6593], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.5091, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6624], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.5064, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6655], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.5037, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6685], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.5011, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6714], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4986, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6743], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4962, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6771], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4938, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6798], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4915, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6825], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4893, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6852], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4871, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6878], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4850, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6903], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4830, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6928], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4810, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6953], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4791, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.6977], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4773, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7001], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4755, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7024], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4737, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7046], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4720, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7069], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4703, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7091], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4687, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7112], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4672, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7133], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4657, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7154], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4642, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7174], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4628, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7194], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4614, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7214], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4600, grad_fn=<BinaryCrossEntropyBackward>)
